feature,gain,split,gain_pct
SP500_Dist_SMA_50,0.037634297520661206,151,15.13
SP500_Return_1d,0.024119441164895766,96,9.7
Spread_1Y_10Y_Chg_21d,0.02308589138134601,92,9.28
Volume_Ratio,0.0220867768595042,88,8.88
SP_VIX_Corr_21d,0.017482782369146035,70,7.03
SMA_5_21_Cross,0.016205234159779657,65,6.52
VIX_Change_1d,0.01611668634395913,64,6.48
VIX_ZScore_63,0.015369933097205867,61,6.18
Vol_Premium_21d_pp,0.011716843762298357,47,4.71
FedFunds_Chg_21d,0.011193919716647042,45,4.5
DXY_Return_21d,0.00992079889807167,39,3.99
SP500_Gap_1d,0.009071723730814699,36,3.65
DXY_ZScore_63,0.008320543093270415,33,3.35
SP500_CloseLoc,0.00726239669421492,29,2.92
Fed_BS_Chg_63d,0.006881641086186578,27,2.77
Vol_Premium_21d,0.0052213695395513975,20,2.1
SP500_RealVol_21d,0.003680637544273946,14,1.48
VIX_Dist_SMA_21,0.002897481306572288,11,1.16
Panic_Reversal_Score,0.00046143250688713465,1,0.19
Spread_1Y_10Y,0.0,0,0.0
SMA_50_200_Cross,0.0,0,0.0
SP500_Body,0.0,0,0.0
