,mean,std,min,max,nan_pct
SP500_Return_1d,0.0005,0.011,-0.1198,0.0952,0.0344
SP500_Return_21d,0.0099,0.0436,-0.3297,0.2248,0.7226
SP500_RealVol_21d,0.1462,0.0988,0.0347,0.9683,0.7226
SP500_Dist_SMA_50,0.0107,0.0367,-0.2774,0.1261,1.6862
SP500_Dist_SMA_200,0.0452,0.0626,-0.2657,0.17,6.8479
SMA_5_21_Cross,0.0035,0.0197,-0.1517,0.0854,0.6882
SMA_50_200_Cross,0.0329,0.0455,-0.1021,0.1096,6.8479
SP500_Range,0.011,0.0083,0.0015,0.0977,0.0
SP500_Body,0.0001,0.0089,-0.0606,0.0901,0.0
Volume_Ratio,1.0039,0.1819,0.0,2.0823,0.6882
VIX_Change_1d,0.0033,0.0848,-0.3575,1.156,0.0344
VIX_Change_5d,0.014,0.1845,-0.4833,2.129,0.1721
VIX_Dist_SMA_21,0.0047,0.1745,-0.3206,1.8686,0.6882
Vol_Premium_21d,18.1379,6.9969,9.0898,81.9116,0.7226
Spread_1Y_10Y,0.5137,0.8636,-1.61,2.22,0.0
Spread_1Y_10Y_Chg_21d,-0.0071,0.1845,-0.76,0.89,0.7226
FedFunds_Chg_21d,0.0256,0.2111,-1.53,0.75,0.7226
DXY_Return_21d,0.0005,0.0183,-0.0742,0.0663,0.7226
DXY_ZScore_63,0.0728,1.3559,-3.383,3.9964,2.1335
Gold_Copper_Ratio_Chg,0.0063,0.0641,-0.2455,0.314,0.7226
WTI_Return_5d,0.0011,0.0829,-2.6792,0.9903,0.1721
CPI_Chg_63d,2.0282,1.7789,-3.325,7.716,2.1679
ConsConf_Chg_21d,-0.3035,4.6052,-28.0,9.5,0.7226
Fed_BS_Chg_63d,0.0116,0.091,-0.0449,0.7066,2.2712
SP_VIX_Corr_21d,-0.7987,0.1467,-0.9744,0.087,0.7226
SP500_Gap_1d,0.0003,0.0052,-0.0747,0.0478,0.0344
SP500_CloseLoc,0.1185,0.6398,-1.0,1.0,0.0
SP500_Drawdown_5d,-0.0085,0.0144,-0.1721,0.0,0.1376
VIX_ZScore_63,-0.0239,1.2609,-2.1009,7.1604,2.1335
Vol_Premium_21d_pp,3.6634,5.797,-51.5947,22.7904,0.7226
Panic_Reversal_Score,0.0004,0.0022,0.0,0.0515,0.0344
Oversold_x_VIXStress,0.0022,0.0136,0.0,0.3048,1.6862
WeakBody_x_HighVol,0.0004,0.0019,0.0,0.0336,0.6882
